row_id,smiles,status,n_atoms,coord_mean_abs,hepg2_pIC50,hct116_pIC50
993,COc1cc(C(=O)OCC(C)(C)CC2=C(O)C(=O)c3ccccc3C2=O)c(O)c2ccccc12,uff_not_converged,58,2.371358633041382,6.42,
994,COc1cc(C(=O)OCC(C)(C)CC2=C(O)C(=O)c3ccccc3C2=O)c(OC)c2ccccc12,uff_not_converged,61,2.524671792984009,6.01,
995,COc1cc(C(=O)OCC(C)CC2=C(O)C(=O)c3ccccc3C2=O)c(O)c2ccccc12,uff_not_converged,55,2.3857336044311523,5.5,
996,COc1cc(C(=O)OCC(C)CC2=C(O)C(=O)c3ccccc3C2=O)c(OC)c2ccccc12,uff_not_converged,58,1.966200590133667,5.44,
997,COc1cc(C(=O)OCCCC2=C(O)C(=O)c3ccccc3C2=O)c(O)c2ccccc12,uff_not_converged,52,2.3216769695281982,5.37,
998,COc1cc(C(=O)OCCCC2=C(O)C(=O)c3ccccc3C2=O)c(OC)c2ccccc12,uff_not_converged,55,1.9380701780319214,4.45,
999,COc1cc(C(=O)OCCCC2=CC(=O)c3ccccc3C2=O)c(O)c2ccccc12,uff_not_converged,51,2.049412965774536,4.19,
1000,COc1cc(C(=O)OCCCCOC(=O)[C@]23CCC(C)(C)C[C@H]2[C@H]2C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)cc(OC)c1OCc1ccc(B2OC(C)(C)C(C)(C)O2)cc1,uff_not_converged,144,3.002890110015869,5.27,
1001,COc1cc(C(=O)OCCCCOC(=O)[C@]23CCC(C)(C)C[C@H]2[C@H]2C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)ccc1OCc1ccc(B2OC(C)(C)C(C)(C)O2)cc1,uff_not_converged,140,3.184434175491333,4.81,
1002,COc1cc(C(=O)c2cc(OC)c(OC)c([Se]C)c2)cc(OC)c1OC,uff_not_converged,48,2.2372593879699707,6.54,
1003,COc1cc(C(=O)c2ccc(OC)c(OC)c2OC)cc([Se]C)c1OC,uff_not_converged,48,2.141329765319824,5.36,
1004,COc1cc(C(=O)c2ccc([Se]C)cc2)cc(OC)c1OC,ok,40,2.1227028369903564,7.11,
1005,COc1cc(C)cc2c1C(=O)c1c(O)cccc1C2=O,ok,32,1.737343192100525,5.03,
1006,COc1cc(C2NC(=O)c3ccccc3N2)ccc1OCc1ccc(C)cc1,ok,50,2.2326977252960205,6.59,
