cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment,standard_value_molar,standard_value_nM,pchembl_backcalc_molar,pchembl_backcalc_nM,p_from_standard,p_delta_abs
HCT116,84352,CHEMBL687063,CHEMBL354586,CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1[C@@H](F)[C@@H]2O,HCT-116,Homo sapiens,F,IC50,=,1.4,nM,8.85,pchembl_value,8.85,,1.4e-09,1.4,1.413e-09,1.412538,8.853872,0.003872
HCT116,84586,CHEMBL689626,CHEMBL299756,N#Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,HCT-116,Homo sapiens,F,GI50,=,19952.62,nM,4.7,fallback_from_standard_value_units,,,1.995262e-05,19952.62,1.9952623e-05,19952.62315,4.7,0.0
HCT116,85265,CHEMBL686467,CHEMBL292873,CCOC(=O)O[C@@H](C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)C3[C@]4(OC(C)=O)COC4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C(=C1C)C2(C)C)[C@@H](NC(=O)c1ccccc1)c1ccccc1,HCT-116,Homo sapiens,F,IC50,=,30.0,nM,7.52,pchembl_value,7.52,,3e-08,30.0,3.02e-08,30.199517,7.522879,0.002879
HCT116,85672,CHEMBL689626,CHEMBL430574,O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1,HCT-116,Homo sapiens,F,GI50,=,15848.93,nM,4.8,fallback_from_standard_value_units,,,1.584893e-05,15848.93,1.5848932e-05,15848.931925,4.8,0.0
HCT116,86294,CHEMBL687063,CHEMBL436054,CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1[C@@H](Br)[C@@H]2O,HCT-116,Homo sapiens,F,IC50,=,2.6,nM,8.59,pchembl_value,8.59,,2.6e-09,2.6,2.57e-09,2.570396,8.585027,0.004973
HCT116,86585,CHEMBL689626,CHEMBL316485,CN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,HCT-116,Homo sapiens,F,GI50,=,19952.62,nM,4.7,fallback_from_standard_value_units,,,1.995262e-05,19952.62,1.9952623e-05,19952.62315,4.7,0.0
HCT116,88691,CHEMBL689626,CHEMBL99037,O=C1Cc2c([nH]c3ccc(F)cc23)-c2ccccc2N1,HCT-116,Homo sapiens,F,GI50,=,7943.28,nM,5.1,fallback_from_standard_value_units,,,7.94328e-06,7943.28,7.943282e-06,7943.282347,5.1,0.0
HCT116,89609,CHEMBL689626,CHEMBL329505,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2ccccc2N1,HCT-116,Homo sapiens,F,GI50,=,3981.07,nM,5.4,fallback_from_standard_value_units,,,3.98107e-06,3981.07,3.981072e-06,3981.071706,5.4,0.0
HCT116,89612,CHEMBL689626,CHEMBL100309,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(Br)ccc2N1,HCT-116,Homo sapiens,F,GI50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,,0.0001,100000.0,0.0001,100000.0,4.0,0.0
HCT116,89615,CHEMBL689626,CHEMBL100220,COC(=O)Cn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,HCT-116,Homo sapiens,F,GI50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,,0.0001,100000.0,0.0001,100000.0,4.0,0.0
HCT116,90146,CHEMBL686467,CHEMBL442358,C=COC(=O)O[C@@H](C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)C3[C@]4(OC(C)=O)COC4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C(=C1C)C2(C)C)[C@@H](NC(=O)c1ccccc1)c1ccccc1,HCT-116,Homo sapiens,F,IC50,=,40.0,nM,7.4,pchembl_value,7.40,,4e-08,40.0,3.9811e-08,39.810717,7.39794,0.00206
HCT116,92650,CHEMBL689626,CHEMBL328627,CCn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,HCT-116,Homo sapiens,F,GI50,=,31622.78,nM,4.5,fallback_from_standard_value_units,,,3.162278e-05,31622.78,3.1622777e-05,31622.776602,4.5,0.0
