cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment,standard_value_molar,standard_value_nM,pchembl_backcalc_molar,pchembl_backcalc_nM,p_from_standard,p_delta_abs
HepG2,353657,CHEMBL692128,CHEMBL417088,CCC1C(=O)N(CCCCCCCOc2ccc(Cl)cc2)/C(=N\C#N)N1c1ccncc1,HepG2,Homo sapiens,F,IC50,=,3446.0,nM,5.46,pchembl_value,5.46,,3.446e-06,3446.0,3.467369e-06,3467.368505,5.462685,0.002685
HepG2,355122,CHEMBL692128,CHEMBL17029,CC1C(=O)N(CCCCCOc2ccc(Cl)cc2)/C(=N\C#N)N1c1ccncc1,HepG2,Homo sapiens,F,IC50,=,4088.0,nM,5.39,pchembl_value,5.39,,4.088e-06,4088.0,4.073803e-06,4073.802778,5.388489,0.001511
HepG2,355129,CHEMBL692128,CHEMBL17429,N#C/N=C1\N(CCCCCCOc2ccc(Cl)cc2)C(=O)CCN1c1ccncc1,HepG2,Homo sapiens,F,IC50,=,344.0,nM,6.46,pchembl_value,6.46,,3.44e-07,344.0,3.46737e-07,346.73685,6.463442,0.003442
HepG2,356315,CHEMBL696817,CHEMBL151423,O=c1cc2oc3ccccc3nc-2c2cccnc12,HepG2,Homo sapiens,F,IC50,=,50.0,nM,7.3,pchembl_value,7.30,,5e-08,50.0,5.0119e-08,50.118723,7.30103,0.00103
HepG2,356594,CHEMBL692128,CHEMBL17137,N#C/N=C1\N(CCCCCOc2ccc(Cl)cc2)C(=O)C(c2ccccc2)N1c1ccncc1,HepG2,Homo sapiens,F,IC50,=,415.0,nM,6.38,pchembl_value,6.38,,4.15e-07,415.0,4.16869e-07,416.869383,6.381952,0.001952
HepG2,357988,CHEMBL692128,CHEMBL17007,CCC1C(=O)N(CCCCCCOc2ccc(Cl)cc2)/C(=N\C#N)N1c1ccncc1,HepG2,Homo sapiens,F,IC50,=,4352.0,nM,5.36,pchembl_value,5.36,,4.352e-06,4352.0,4.365158e-06,4365.158322,5.361311,0.001311
HepG2,359078,CHEMBL698438,CHEMBL336442,CCOC(=O)Nc1cc(COC(=O)CCC(=O)Nc2cc(C(=O)NCCN(C)C)n(C)c2)cc(Nc2c3ccccc3nc3ccccc23)c1,HepG2,Homo sapiens,F,IC50,=,80.0,nM,7.1,pchembl_value,7.10,,8e-08,80.0,7.9433e-08,79.432823,7.09691,0.00309
HepG2,359346,CHEMBL692128,CHEMBL280435,N#C/N=C1\N(CCCCCOc2ccc(Cl)cc2)C(=O)CN1c1ccncc1,HepG2,Homo sapiens,F,IC50,=,4204.0,nM,5.38,pchembl_value,5.38,,4.204e-06,4204.0,4.168694e-06,4168.693835,5.376337,0.003663
HepG2,361854,CHEMBL692128,CHEMBL16928,CC1C(=O)N(CCCCCCOc2ccc(Cl)cc2)/C(=N\C#N)N1c1ccncc1,HepG2,Homo sapiens,F,IC50,=,282.0,nM,6.55,pchembl_value,6.55,,2.82e-07,282.0,2.81838e-07,281.838293,6.549751,0.000249
HepG2,363096,CHEMBL698438,CHEMBL341709,CCOC(=O)Nc1cc(CO)cc(Nc2c3ccccc3nc3ccccc23)c1,HepG2,Homo sapiens,F,IC50,=,460.0,nM,6.34,pchembl_value,6.34,,4.6e-07,460.0,4.57088e-07,457.08819,6.337242,0.002758
